dia,tarifario,opcao,intervalo,col,omie,tar,omieTar
03/04/2026,Alfa Power Index BTN,Simples,[12:45-13:00[,0.09440,-0.00400,0.06070,0.05605
03/04/2026,Alfa Power Index BTN,Simples,[13:00-13:15[,0.09436,-0.00400,0.06070,0.05606
03/04/2026,Alfa Power Index BTN,Simples,[13:15-13:30[,0.09339,-0.00475,0.06070,0.05521
03/04/2026,Alfa Power Index BTN,Simples,[13:30-13:45[,0.09332,-0.00475,0.06070,0.05523
03/04/2026,Alfa Power Index BTN,Simples,[13:45-14:00[,0.09298,-0.00500,0.06070,0.05496
03/04/2026,Alfa Power Index BTN,Simples,[14:00-14:15[,0.09293,-0.00500,0.06070,0.05497
03/04/2026,Alfa Power Index BTN,Simples,[14:15-14:30[,0.09290,-0.00500,0.06070,0.05498
03/04/2026,Alfa Power Index BTN,Simples,[14:30-14:45[,0.09287,-0.00500,0.06070,0.05499
03/04/2026,Alfa Power Index BTN,Simples,[14:45-15:00[,0.09285,-0.00500,0.06070,0.05499
03/04/2026,Alfa Power Index BTN,Simples,[15:00-15:15[,0.09283,-0.00500,0.06070,0.05500
03/04/2026,Alfa Power Index BTN,Simples,[15:15-15:30[,0.09280,-0.00500,0.06070,0.05501
03/04/2026,Alfa Power Index BTN,Simples,[15:30-15:45[,0.09279,-0.00500,0.06070,0.05501
03/04/2026,Alfa Power Index BTN,Simples,[15:45-16:00[,0.09277,-0.00500,0.06070,0.05502
03/04/2026,Alfa Power Index BTN,Simples,[16:00-16:15[,0.09305,-0.00475,0.06070,0.05530
03/04/2026,Alfa Power Index BTN,Simples,[16:15-16:30[,0.09389,-0.00400,0.06070,0.05616
03/04/2026,Alfa Power Index BTN,Simples,[16:30-16:45[,0.09501,-0.00301,0.06070,0.05728
03/04/2026,Alfa Power Index BTN,Simples,[16:45-17:00[,0.09605,-0.00210,0.06070,0.05831
03/04/2026,Alfa Power Index BTN,Simples,[17:00-17:15[,0.09732,-0.00100,0.06070,0.05956
03/04/2026,Alfa Power Index BTN,Simples,[17:15-17:30[,0.09756,-0.00081,0.06070,0.05978
03/04/2026,Alfa Power Index BTN,Simples,[17:30-17:45[,0.09794,-0.00050,0.06070,0.06013
03/04/2026,Alfa Power Index BTN,Simples,[17:45-18:00[,0.09854,0.00000,0.06070,0.06070
03/04/2026,Alfa Power Index BTN,Simples,[18:00-18:15[,0.09859,0.00000,0.06070,0.06070
03/04/2026,Alfa Power Index BTN,Simples,[18:15-18:30[,0.09960,0.00084,0.06070,0.06166
03/04/2026,Alfa Power Index BTN,Simples,[18:30-18:45[,0.10558,0.00600,0.06070,0.06758
03/04/2026,Alfa Power Index BTN,Simples,[18:45-19:00[,0.11653,0.01544,0.06070,0.07847
03/04/2026,Alfa Power Index BTN,Simples,[19:00-19:15[,0.13927,0.03500,0.06070,0.10111
03/04/2026,Alfa Power Index BTN,Simples,[19:15-19:30[,0.13955,0.03502,0.06070,0.10129
03/04/2026,Alfa Power Index BTN,Simples,[19:30-19:45[,0.15864,0.05120,0.06070,0.12027
03/04/2026,Alfa Power Index BTN,Simples,[19:45-20:00[,0.18791,0.07602,0.06070,0.14946
03/04/2026,Alfa Power Index BTN,Simples,[20:00-20:15[,0.19392,0.08090,0.06070,0.15540
03/04/2026,Alfa Power Index BTN,Simples,[20:15-20:30[,0.19895,0.08501,0.06070,0.16038
03/04/2026,Alfa Power Index BTN,Simples,[20:30-20:45[,0.19219,0.07906,0.06070,0.15358
03/04/2026,Alfa Power Index BTN,Simples,[20:45-21:00[,0.19049,0.07752,0.06070,0.15185
03/04/2026,Alfa Power Index BTN,Simples,[21:00-21:15[,0.19338,0.08000,0.06070,0.15474
03/04/2026,Alfa Power Index BTN,Simples,[21:15-21:30[,0.19212,0.07902,0.06070,0.15351
03/04/2026,Alfa Power Index BTN,Simples,[21:30-21:45[,0.19018,0.07752,0.06070,0.15161
03/04/2026,Alfa Power Index BTN,Simples,[21:45-22:00[,0.18819,0.07602,0.06070,0.14968
03/04/2026,Alfa Power Index BTN,Simples,[22:00-22:15[,0.18584,0.07421,0.06070,0.14738
03/04/2026,Alfa Power Index BTN,Simples,[22:15-22:30[,0.15895,0.05135,0.06070,0.12054
03/04/2026,Alfa Power Index BTN,Simples,[22:30-22:45[,0.15892,0.05150,0.06070,0.12058
03/04/2026,Alfa Power Index BTN,Simples,[22:45-23:00[,0.14246,0.03750,0.06070,0.10419
03/04/2026,Alfa Power Index BTN,Simples,[23:00-23:15[,,,,
03/04/2026,Alfa Power Index BTN,Simples,[23:15-23:30[,,,,
03/04/2026,Alfa Power Index BTN,Simples,[23:30-23:45[,,,,
03/04/2026,Alfa Power Index BTN,Simples,[23:45-00:00[,,,,
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[00:00-00:15[,0.06791,0.01228,0.01580,0.02990
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[00:15-00:30[,0.06753,0.01206,0.01580,0.02960
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[00:30-00:45[,0.06715,0.01182,0.01580,0.02929
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[00:45-01:00[,0.06650,0.01134,0.01580,0.02871
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[01:00-01:15[,0.06642,0.01134,0.01580,0.02868
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[01:15-01:30[,0.06607,0.01110,0.01580,0.02838
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[01:30-01:45[,0.06601,0.01110,0.01580,0.02836
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[01:45-02:00[,0.06625,0.01134,0.01580,0.02862
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[02:00-02:15[,0.06722,0.01228,0.01580,0.02965
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[02:15-02:30[,0.06694,0.01206,0.01580,0.02940
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[02:30-02:45[,0.06691,0.01206,0.01580,0.02938
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[02:45-03:00[,0.06687,0.01206,0.01580,0.02937
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[03:00-03:15[,0.06657,0.01182,0.01580,0.02909
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[03:15-03:30[,0.06655,0.01182,0.01580,0.02908
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[03:30-03:45[,0.06680,0.01206,0.01580,0.02935
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[03:45-04:00[,0.06679,0.01206,0.01580,0.02934
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[04:00-04:15[,0.06702,0.01228,0.01580,0.02958
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[04:15-04:30[,0.06701,0.01228,0.01580,0.02958
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[04:30-04:45[,0.06783,0.01302,0.01580,0.03041
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[04:45-05:00[,0.06748,0.01271,0.01580,0.03006
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[05:00-05:15[,0.06699,0.01228,0.01580,0.02957
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[05:15-05:30[,0.06701,0.01230,0.01580,0.02960
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[05:30-05:45[,0.06877,0.01386,0.01580,0.03135
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[05:45-06:00[,0.06892,0.01400,0.01580,0.03150
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[06:00-06:15[,0.06900,0.01400,0.01580,0.03153
